i18n_key,command_id,icon,icon_after,th_now,th_new,en_now,en_new,note
ui.dlg.compareRight,,swap,,⇋ เทียบด้านขวา,เทียบด้านขวา,⇋ เทียบด้านขวา,เทียบด้านขวา,
ui.dlg.exportFileCSV,,export,,📤 ส่งออกไฟล์แปล (CSV),ส่งออกไฟล์แปล (CSV),📤 ส่งออกไฟล์แปล (CSV),ส่งออกไฟล์แปล (CSV),
ui.dlg.loadFileLangNew2,,refresh,,↻ โหลดไฟล์ภาษาใหม่,โหลดไฟล์ภาษาใหม่,↻ โหลดไฟล์ภาษาใหม่,โหลดไฟล์ภาษาใหม่,
ui.dlg.openFolderLang,,folder,,📁 เปิดโฟลเดอร์ภาษา,เปิดโฟลเดอร์ภาษา,📁 เปิดโฟลเดอร์ภาษา,เปิดโฟลเดอร์ภาษา,
ui.dlg.toggleUndoPrevShift,,,,สลับย้อนกลับ (เดิม Shift+Tab),สลับย้อนกลับ,สลับย้อนกลับ (เดิม Shift+Tab),สลับย้อนกลับ,ตัดคีย์ลัดท้าย (เดิม Shift+Tab) — ให้ UI เติมจาก commands.csv
ui.dlgb.monoTip,,thought,,💭 ให้ตัวละครที่เลือกไว้รำพึงคนเดียว — เสียงในใจ ตัวละครอื่นไม่ได้ยิน,ให้ตัวละครที่เลือกไว้รำพึงคนเดียว — เสียงในใจ ตัวละครอื่นไม่ได้ยิน,💭 Let the selected character speak a monologue — an inner voice the others never hear,Let the selected character speak a monologue — an inner voice the others never hear,
ui.dlgb.keepTalking,,arrow-turn-down,,⤵ พูดต่อ,พูดต่อ,⤵ Keep talking,Keep talking,
ui.dlgb.modelThinking,,brain,,🧠 ความคิดของโมเดล,ความคิดของโมเดล,🧠 Model thinking,Model thinking,
ui.dlgb.overrideTitle,,cog,,⚙ โมเดลและพารามิเตอร์ของตัวนี้,โมเดลและพารามิเตอร์ของตัวนี้,⚙ Model and parameters for this character,Model and parameters for this character,
ui.dlgb.send,,play,,▶ ส่ง,ส่ง,▶ Send,Send,
ui.dlgb.thinking,,mask,,🎭 กำลังคิด…,กำลังคิด…,🎭 Thinking…,Thinking…,
ui.dlgBuilder.aiPick,,bot,,🤖 ให้ AI เลือก,ให้ AI เลือก,🤖 Let AI choose,Let AI choose,
ui.dlgBuilder.selfMono,,thought,,💭 รำพึงคนเดียว,รำพึงคนเดียว,💭 monologue,monologue,
ui.dlgBuilder.randomPick,,dice,,🎲 สุ่ม,สุ่ม,🎲 Random,Random,
ui.editor.ctrlClickOpenWiki,,,,Ctrl+คลิก เปิดใน Wiki,Ctrl+คลิก เปิดใน Wiki,Ctrl+คลิก เปิดใน Wiki,Ctrl+คลิก เปิดใน Wiki,
ui.exportBlog.exportHTMLBlock,,globe,,🌐 ส่งออกเป็น HTML สำหรับบล็อก,ส่งออกเป็น HTML สำหรับบล็อก,🌐 ส่งออกเป็น HTML สำหรับบล็อก,ส่งออกเป็น HTML สำหรับบล็อก,
ui.filterCommands,,search,,🔍 กรองคำสั่ง…,กรองคำสั่ง…,Filter commands...,Filter commands...,
ui.floorplan.cancelPin,,close,,✖ ยกเลิกการปัก,ยกเลิกการปัก,✖ ยกเลิกการปัก,ยกเลิกการปัก,
ui.floorplan.cantPinPosPress,,,,"ยังไม่ได้ปักตำแหน่ง — กด ""📌 ปักตำแหน่งฉากนี้""","ยังไม่ได้ปักตำแหน่ง — กด ""📌 ปักตำแหน่งฉากนี้""","ยังไม่ได้ปักตำแหน่ง — กด ""📌 ปักตำแหน่งฉากนี้""","ยังไม่ได้ปักตำแหน่ง — กด ""📌 ปักตำแหน่งฉากนี้""",ไอคอน 📌 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.floorplan.clearPos,,block,,🚫 ล้างตำแหน่ง,ล้างตำแหน่ง,🚫 ล้างตำแหน่ง,ล้างตำแหน่ง,
ui.floorplan.clickTopMapTop,,pin,,📌 คลิกบนแผนที่ (หรือบนหมุด) เพื่อกำหนดตำแหน่งของฉากนี้,คลิกบนแผนที่ (หรือบนหมุด) เพื่อกำหนดตำแหน่งของฉากนี้,📌 คลิกบนแผนที่ (หรือบนหมุด) เพื่อกำหนดตำแหน่งของฉากนี้,คลิกบนแผนที่ (หรือบนหมุด) เพื่อกำหนดตำแหน่งของฉากนี้,
ui.floorplan.lineTimePlace,,time,,🕒 เส้นเวลาของสถานที่นี้,เส้นเวลาของสถานที่นี้,🕒 เส้นเวลาของสถานที่นี้,เส้นเวลาของสถานที่นี้,
ui.floorplan.notHasSceneBind,,,,"ยังไม่มีฉากผูกกับแผนที่นี้ — เปิดฉากแล้วกด ""📌 ปักตำแหน่งฉากนี้""","ยังไม่มีฉากผูกกับแผนที่นี้ — เปิดฉากแล้วกด ""📌 ปักตำแหน่งฉากนี้""","ยังไม่มีฉากผูกกับแผนที่นี้ — เปิดฉากแล้วกด ""📌 ปักตำแหน่งฉากนี้""","ยังไม่มีฉากผูกกับแผนที่นี้ — เปิดฉากแล้วกด ""📌 ปักตำแหน่งฉากนี้""",ไอคอน 📌 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.floorplan.pinPosScene2,,pin,,📌 ปักตำแหน่งฉากนี้,ปักตำแหน่งฉากนี้,📌 ปักตำแหน่งฉากนี้,ปักตำแหน่งฉากนี้,
ui.floorplan.sceneOpen,,file,,📄 ฉากที่เปิดอยู่,ฉากที่เปิดอยู่,📄 ฉากที่เปิดอยู่,ฉากที่เปิดอยู่,
ui.floorplan.thingFound,,package,,📦 สิ่งที่พบ,สิ่งที่พบ,📦 สิ่งที่พบ,สิ่งที่พบ,
ui.floorplan.thingHear,,volume,,🔊 สิ่งที่ได้ยิน,สิ่งที่ได้ยิน,🔊 สิ่งที่ได้ยิน,สิ่งที่ได้ยิน,
ui.fmtcfg.hereBtn,,,,เรียกแถบมาที่เคอร์เซอร์ (Ctrl+Shift+/),เรียกแถบมาที่เคอร์เซอร์,Bring the bar to the cursor (Ctrl+Shift+/),Bring the bar to the cursor,ตัดคีย์ลัดท้าย (Ctrl+Shift+/) — ให้ UI เติมจาก commands.csv
ui.gallery.aISetCaptionImage,,bot,,🤖 AI: ตั้งคำบรรยายให้รูปที่เลือก,AI: ตั้งคำบรรยายให้รูปที่เลือก,🤖 AI: ตั้งคำบรรยายให้รูปที่เลือก,AI: ตั้งคำบรรยายให้รูปที่เลือก,
ui.gallery.aISuggestTagImage,,bot,,🤖 AI: แนะนำแท็กให้รูปที่เลือก,AI: แนะนำแท็กให้รูปที่เลือก,🤖 AI: แนะนำแท็กให้รูปที่เลือก,AI: แนะนำแท็กให้รูปที่เลือก,
ui.gallery.changeName,,edit,,✏️ เปลี่ยนชื่อ…,เปลี่ยนชื่อ…,✏️ เปลี่ยนชื่อ…,เปลี่ยนชื่อ…,
ui.gallery.changeNameTagLibrary,,edit,,✏️ เปลี่ยนชื่อแท็กนี้ทั้งคลัง,เปลี่ยนชื่อแท็กนี้ทั้งคลัง,✏️ เปลี่ยนชื่อแท็กนี้ทั้งคลัง,เปลี่ยนชื่อแท็กนี้ทั้งคลัง,
ui.gallery.clearItemFilterTag,,close,,✕ ล้างตัวกรองแท็ก,ล้างตัวกรองแท็ก,✕ ล้างตัวกรองแท็ก,ล้างตัวกรองแท็ก,
ui.gallery.dataImage2,,info,,ℹ️ ข้อมูลรูป,ข้อมูลรูป,ℹ️ ข้อมูลรูป,ข้อมูลรูป,
ui.gallery.delAlbumMoveTrash,,trash,,🗑 ลบอัลบั้ม (ย้ายไปถังขยะ),ลบอัลบั้ม (ย้ายไปถังขยะ),🗑 ลบอัลบั้ม (ย้ายไปถังขยะ),ลบอัลบั้ม (ย้ายไปถังขยะ),
ui.gallery.detachTagExitAll2,,trash,,🗑 ถอดแท็กนี้ออกจากทุกรูป,ถอดแท็กนี้ออกจากทุกรูป,🗑 ถอดแท็กนี้ออกจากทุกรูป,ถอดแท็กนี้ออกจากทุกรูป,
ui.gallery.editCaption,,edit,,✏️ แก้คำบรรยาย…,แก้คำบรรยาย…,✏️ แก้คำบรรยาย…,แก้คำบรรยาย…,
ui.gallery.editTag,,tag,,🏷 แก้แท็ก…,แก้แท็ก…,🏷 แก้แท็ก…,แก้แท็ก…,
ui.gallery.exportAlbum,,export,,📤 ส่งออกอัลบั้มนี้…,ส่งออกอัลบั้มนี้…,📤 ส่งออกอัลบั้มนี้…,ส่งออกอัลบั้มนี้…,
ui.gallery.exportAlbumPick,,export,,📤 ส่งออกอัลบั้มที่เลือกอยู่…,ส่งออกอัลบั้มที่เลือกอยู่…,📤 ส่งออกอัลบั้มที่เลือกอยู่…,ส่งออกอัลบั้มที่เลือกอยู่…,
ui.gallery.exportPick,,export,,📤 ส่งออกที่เลือก,ส่งออกที่เลือก,📤 ส่งออกที่เลือก,ส่งออกที่เลือก,
ui.gallery.findImageTiredLift,,search,,🔎 หารูปที่คล้ายกัน,หารูปที่คล้ายกัน,🔎 หารูปที่คล้ายกัน,หารูปที่คล้ายกัน,
ui.gallery.hasImageUseSource,,error,,"
⚠ มี {0} รูปที่ถูกใช้ในต้นฉบับอยู่",มี {0} รูปที่ถูกใช้ในต้นฉบับอยู่,"
⚠ มี {0} รูปที่ถูกใช้ในต้นฉบับอยู่",มี {0} รูปที่ถูกใช้ในต้นฉบับอยู่,
ui.gallery.hasItemUseSource,,error,,"
⚠ มี {0} ใบที่ยังถูกใช้ในต้นฉบับ",มี {0} ใบที่ยังถูกใช้ในต้นฉบับ,"
⚠ มี {0} ใบที่ยังถูกใช้ในต้นฉบับ",มี {0} ใบที่ยังถูกใช้ในต้นฉบับ,
ui.gallery.moveAlbum2,,folder,,📁 ย้ายไปอัลบั้ม,ย้ายไปอัลบั้ม,📁 ย้ายไปอัลบั้ม,ย้ายไปอัลบั้ม,
ui.gallery.moveAlbum3,,folder,,📁 ย้ายไปอัลบั้ม…,ย้ายไปอัลบั้ม…,📁 ย้ายไปอัลบั้ม…,ย้ายไปอัลบั้ม…,
ui.gallery.moveUnder,,folder,,📁 ย้ายไปอยู่ใต้…,ย้ายไปอยู่ใต้…,📁 ย้ายไปอยู่ใต้…,ย้ายไปอยู่ใต้…,
ui.gallery.newImagesJsonNew,,refresh,,🔄 สร้าง images.json ใหม่ (ดัชนี v1),สร้าง images.json ใหม่ (ดัชนี v1),🔄 สร้าง images.json ใหม่ (ดัชนี v1),สร้าง images.json ใหม่ (ดัชนี v1),
ui.gallery.openImageCant,,error,,⚠ เปิดรูปไม่ได้,เปิดรูปไม่ได้,⚠ เปิดรูปไม่ได้,เปิดรูปไม่ได้,
ui.gallery.pasteTopBoardMood,,palette,,🎨 วางบนกระดานอารมณ์,วางบนกระดานอารมณ์,🎨 วางบนกระดานอารมณ์,วางบนกระดานอารมณ์,
ui.gallery.searchNameFileCaption,,search,,🔍 ค้นชื่อไฟล์ / คำบรรยาย / แท็ก,ค้นชื่อไฟล์ / คำบรรยาย / แท็ก,🔍 ค้นชื่อไฟล์ / คำบรรยาย / แท็ก,ค้นชื่อไฟล์ / คำบรรยาย / แท็ก,
ui.gallery.showOnlyImageNot,,broom,,🧹 แสดงเฉพาะรูปที่ยังไม่ถูกใช้,แสดงเฉพาะรูปที่ยังไม่ถูกใช้,🧹 แสดงเฉพาะรูปที่ยังไม่ถูกใช้,แสดงเฉพาะรูปที่ยังไม่ถูกใช้,
ui.gallery.tag,,tag,,🏷 ติดแท็ก,ติดแท็ก,🏷 ติดแท็ก,ติดแท็ก,
ui.galleryMoodboard.adjustAllItemAt2,,ruler,,📐 ปรับทุกชิ้นให้ตรงสัดส่วนรูป,ปรับทุกชิ้นให้ตรงสัดส่วนรูป,📐 ปรับทุกชิ้นให้ตรงสัดส่วนรูป,ปรับทุกชิ้นให้ตรงสัดส่วนรูป,
ui.galleryMoodboard.adjustAtRatioImage,,ruler,,📐 ปรับให้ตรงสัดส่วนรูป,ปรับให้ตรงสัดส่วนรูป,📐 ปรับให้ตรงสัดส่วนรูป,ปรับให้ตรงสัดส่วนรูป,
ui.galleryMoodboard.arrangeAuto,,grid,,▦ จัดเรียงอัตโนมัติ,จัดเรียงอัตโนมัติ,▦ จัดเรียงอัตโนมัติ,จัดเรียงอัตโนมัติ,
ui.galleryMoodboard.bottomLast,,arrow-down,,⬇️ ลงล่างสุด,ลงล่างสุด,⬇️ ลงล่างสุด,ลงล่างสุด,
ui.galleryMoodboard.clearBoardNotDel,,trash,,🗑 ล้างกระดาน (ไม่ลบไฟล์),ล้างกระดาน (ไม่ลบไฟล์),🗑 ล้างกระดาน (ไม่ลบไฟล์),ล้างกระดาน (ไม่ลบไฟล์),
ui.galleryMoodboard.exitBoardNotDel,,close,,✕ เอาออกจากกระดาน (ไม่ลบไฟล์),เอาออกจากกระดาน (ไม่ลบไฟล์),✕ เอาออกจากกระดาน (ไม่ลบไฟล์),เอาออกจากกระดาน (ไม่ลบไฟล์),
ui.galleryMoodboard.exportBoardImage,,camera,,📷 ส่งออกกระดานเป็นภาพ…,ส่งออกกระดานเป็นภาพ…,📷 ส่งออกกระดานเป็นภาพ…,ส่งออกกระดานเป็นภาพ…,
ui.galleryMoodboard.pickImageLibraryDone,,,,"(หรือเลือกรูปในคลังแล้วกด ""🎨 วางบนกระดาน"")","(หรือเลือกรูปในคลังแล้วกด ""🎨 วางบนกระดาน"")","(หรือเลือกรูปในคลังแล้วกด ""🎨 วางบนกระดาน"")","(หรือเลือกรูปในคลังแล้วกด ""🎨 วางบนกระดาน"")",ไอคอน 🎨 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.galleryMoodboard.top,,arrow-up,,⬆️ ขึ้นบนสุด,ขึ้นบนสุด,⬆️ ขึ้นบนสุด,ขึ้นบนสุด,
ui.histOry.clearHistory,,trash,,🗑 ล้างประวัติ,ล้างประวัติ,🗑 ล้างประวัติ,ล้างประวัติ,
ui.histOry.historyNoteOnlyChange,,,,"ประวัติจดเฉพาะ ""การเปลี่ยนแปลงที่ลงไฟล์แล้ว"" — การพิมพ์ที่ยังไม่บันทึกใช้ Ctrl+Z ตามปกติ ","ประวัติจดเฉพาะ ""การเปลี่ยนแปลงที่ลงไฟล์แล้ว"" — การพิมพ์ที่ยังไม่บันทึกใช้ {sc:editor-undo} ตามปกติ","ประวัติจดเฉพาะ ""การเปลี่ยนแปลงที่ลงไฟล์แล้ว"" — การพิมพ์ที่ยังไม่บันทึกใช้ Ctrl+Z ตามปกติ ","ประวัติจดเฉพาะ ""การเปลี่ยนแปลงที่ลงไฟล์แล้ว"" — การพิมพ์ที่ยังไม่บันทึกใช้ {sc:editor-undo} ตามปกติ",
ui.histOry.msg,,return,,↩ ย้อนมาที่นี่,ย้อนมาที่นี่,↩ ย้อนมาที่นี่,ย้อนมาที่นี่,
ui.home.close,,close,,✕ ปิด,ปิด,✕ Close,Close,
ui.home.export,,export,,📤 ส่งออก,ส่งออก,📤 Export,Export,
ui.home.import,,import,,📥 นำเข้า,นำเข้า,📥 Import,Import,
ui.home.newProject,,plus,,➕ สร้างโปรเจกต์ใหม่,สร้างโปรเจกต์ใหม่,➕ New Project,New Project,
ui.home.notHasProjectNew,,,,"
        <div class=""home-empty-icon"">📚</div>
        <h2>ยังไม่มีโปรเจกต์</h2>
        <p>สร้างโปรเจกต์แรกของคุณ แล้วเริ่มเขียนนิยายหรือบทภาพยนตร์ได้เลย</p>
      ","
        <div class=""home-empty-icon"">📚</div>
        <h2>ยังไม่มีโปรเจกต์</h2>
        <p>สร้างโปรเจกต์แรกของคุณ แล้วเริ่มเขียนนิยายหรือบทภาพยนตร์ได้เลย</p>","
        <div class=""home-empty-icon"">📚</div>
        <h2>ยังไม่มีโปรเจกต์</h2>
        <p>สร้างโปรเจกต์แรกของคุณ แล้วเริ่มเขียนนิยายหรือบทภาพยนตร์ได้เลย</p>
      ","
        <div class=""home-empty-icon"">📚</div>
        <h2>ยังไม่มีโปรเจกต์</h2>
        <p>สร้างโปรเจกต์แรกของคุณ แล้วเริ่มเขียนนิยายหรือบทภาพยนตร์ได้เลย</p>",ไอคอน 📚 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.home.openProject,,folder-open,,📂 เปิดโปรเจกต์,เปิดโปรเจกต์,📂 Open Project,Open Project,
ui.home.pageFirst,,home,,🏠 หน้าแรก,หน้าแรก,🏠 หน้าแรก,หน้าแรก,
ui.home.search,,search,,🔍 ค้นหา,ค้นหา,🔍 ค้นหา,ค้นหา,
ui.html.tbChapters,toggle-panel:chapters,,,จัดการบท (Ctrl+Alt+Shift+K),จัดการบท,Chapter manager (Ctrl+Alt+Shift+K),Chapter manager,ตัดคีย์ลัดท้าย (Ctrl+Alt+Shift+K) — ให้ UI เติมจาก commands.csv
ui.imp.warnPrefix,,error,,⚠ คำเตือน ,คำเตือน,⚠ Warnings: ,Warnings:,
ui.maps.busyNextRouteClick,,road,,🛣 กำลังต่อเส้นทาง “{0}” — คลิกหมุดตามลำดับที่เดินทาง ({1} จุด),กำลังต่อเส้นทาง “{0}” — คลิกหมุดตามลำดับที่เดินทาง ({1} จุด),🛣 กำลังต่อเส้นทาง “{0}” — คลิกหมุดตามลำดับที่เดินทาง ({1} จุด),กำลังต่อเส้นทาง “{0}” — คลิกหมุดตามลำดับที่เดินทาง ({1} จุด),
ui.maps.cancelPick,,close,,✖ ยกเลิกการเลือก,ยกเลิกการเลือก,✖ ยกเลิกการเลือก,ยกเลิกการเลือก,
ui.maps.changeImage,,image,,🖼 เปลี่ยนรูป,เปลี่ยนรูป,🖼 เปลี่ยนรูป,เปลี่ยนรูป,
ui.maps.ctrlClickPickItem,,,, · Ctrl+คลิก = เลือกหลายตัว · Shift+ลาก = เลือกเป็นกรอบ · Ctrl+ล้อ = ซูม, · Ctrl+คลิก = เลือกหลายตัว · Shift+ลาก = เลือกเป็นกรอบ · Ctrl+ล้อ = ซูม, · Ctrl+คลิก = เลือกหลายตัว · Shift+ลาก = เลือกเป็นกรอบ · Ctrl+ล้อ = ซูม, · Ctrl+คลิก = เลือกหลายตัว · Shift+ลาก = เลือกเป็นกรอบ · Ctrl+ล้อ = ซูม,
ui.maps.delMap,,trash,,🗑 ลบแผนที่,ลบแผนที่,🗑 ลบแผนที่,ลบแผนที่,
ui.maps.delPick,,trash,,🗑 ลบที่เลือก,ลบที่เลือก,🗑 ลบที่เลือก,ลบที่เลือก,
ui.maps.done,,checkmark,,✔ เสร็จ,เสร็จ,✔ เสร็จ,เสร็จ,
ui.maps.dotLatest,,return,,↩ ถอยจุดล่าสุด,ถอยจุดล่าสุด,↩ ถอยจุดล่าสุด,ถอยจุดล่าสุด,
ui.maps.foundPinTopMap,,search,,"🔍 ""{0}"" — เจอ {1} หมุดบนแผนที่นี้","""{0}"" — เจอ {1} หมุดบนแผนที่นี้","🔍 ""{0}"" — เจอ {1} หมุดบนแผนที่นี้","""{0}"" — เจอ {1} หมุดบนแผนที่นี้",
ui.maps.nextDot,,edit,,✎ ต่อจุด,ต่อจุด,✎ ต่อจุด,ต่อจุด,
ui.maps.notHasImagePress,,camera,,"📷 ยังไม่มีรูป — กด ""🖼 เปลี่ยนรูป""","ยังไม่มีรูป — กด ""🖼 เปลี่ยนรูป""","📷 ยังไม่มีรูป — กด ""🖼 เปลี่ยนรูป""","ยังไม่มีรูป — กด ""🖼 เปลี่ยนรูป""",ไอคอน 🖼 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.maps.pastePin,,clipboard,,📋 วาง {0} หมุด,วาง {0} หมุด,📋 วาง {0} หมุด,วาง {0} หมุด,
ui.maps.portalSceneBindMap,,map,,📍 {0} เอนทิตี้ · 🚪 {1} ประตู · 📌 {2} หมายเหตุ · 📄 {3} ฉากผูกกับแผนที่นี้,{0} เอนทิตี้ · 🚪 {1} ประตู · 📌 {2} หมายเหตุ · 📄 {3} ฉากผูกกับแผนที่นี้,📍 {0} เอนทิตี้ · 🚪 {1} ประตู · 📌 {2} หมายเหตุ · 📄 {3} ฉากผูกกับแผนที่นี้,{0} เอนทิตี้ · 🚪 {1} ประตู · 📌 {2} หมายเหตุ · 📄 {3} ฉากผูกกับแผนที่นี้,ไอคอน 🚪 📌 📄 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.maps.pressBtnEditTop,,,," · กดปุ่ม ""✎ แก้ไข"" บนแถบเครื่องมือเพื่อแก้หมุดนี้"," · กดปุ่ม ""✎ แก้ไข"" บนแถบเครื่องมือเพื่อแก้หมุดนี้"," · กดปุ่ม ""✎ แก้ไข"" บนแถบเครื่องมือเพื่อแก้หมุดนี้"," · กดปุ่ม ""✎ แก้ไข"" บนแถบเครื่องมือเพื่อแก้หมุดนี้",ไอคอน ✎ อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.maps.print,,printer,,🖨 พิมพ์,พิมพ์,🖨 พิมพ์,พิมพ์,
ui.maps.route2,,road,,🛣 เส้นทาง,เส้นทาง,🛣 เส้นทาง,เส้นทาง,
ui.maps.route3,,road,,🛣 เส้นทาง ({0}),เส้นทาง ({0}),🛣 เส้นทาง ({0}),เส้นทาง ({0}),
ui.maps.saveMapLibraryImage,,camera,,📷 บันทึกแผนที่ลงคลังรูปแล้ว: ,บันทึกแผนที่ลงคลังรูปแล้ว:,📷 บันทึกแผนที่ลงคลังรูปแล้ว: ,บันทึกแผนที่ลงคลังรูปแล้ว:,
ui.maps.searchPinName,,search,,🔍 ค้นหาหมุด (ชื่อ/หมายเหตุ),ค้นหาหมุด (ชื่อ/หมายเหตุ),🔍 ค้นหาหมุด (ชื่อ/หมายเหตุ),ค้นหาหมุด (ชื่อ/หมายเหตุ),
ui.maps.setGapField,,,,(ตั้งระยะได้ที่ช่องข้าง 📏),(ตั้งระยะได้ที่ช่องข้าง 📏),(ตั้งระยะได้ที่ช่องข้าง 📏),(ตั้งระยะได้ที่ช่องข้าง 📏),ไอคอน 📏 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.maps.showItemFilm,,font,,🔤 แสดงตัวหนังสือ,แสดงตัวหนังสือ,🔤 แสดงตัวหนังสือ,แสดงตัวหนังสือ,
ui.maps.sizePin,,map,,📍 ขนาดหมุด,ขนาดหมุด,📍 ขนาดหมุด,ขนาดหมุด,
ui.maps.zoomInCtrlWheel,,,,ซูมเข้า (Ctrl+ล้อ),ซูมเข้า,ซูมเข้า (Ctrl+ล้อ),ซูมเข้า,ตัดคีย์ลัดท้าย (Ctrl+ล้อ) — ให้ UI เติมจาก commands.csv
ui.maps.zoomOutCtrlWheel,,,,ซูมออก (Ctrl+ล้อ),ซูมออก,ซูมออก (Ctrl+ล้อ),ซูมออก,ตัดคีย์ลัดท้าย (Ctrl+ล้อ) — ให้ UI เติมจาก commands.csv
ui.menu.aIAnalyzePaceStory,ai-analyzer,brain,,🧠 AI วิเคราะห์ (จังหวะเรื่อง · ตัวละคร · คำซ้ำ),AI วิเคราะห์ (จังหวะเรื่อง · ตัวละคร · คำซ้ำ),🧠 AI วิเคราะห์ (จังหวะเรื่อง · ตัวละคร · คำซ้ำ),AI วิเคราะห์ (จังหวะเรื่อง · ตัวละคร · คำซ้ำ),
ui.menu.alignLeftL,fmt:align:left,,,ชิดซ้าย ({0}+{1}+L),ชิดซ้าย,ชิดซ้าย ({0}+{1}+L),ชิดซ้าย,ตัดคีย์ลัดท้าย ({0}+{1}+L) — ให้ UI เติมจาก commands.csv
ui.menu.backVersionLatestRevert,revert,return,,↩ กลับไปเวอร์ชันล่าสุด (Revert),กลับไปเวอร์ชันล่าสุด (Revert),↩ กลับไปเวอร์ชันล่าสุด (Revert),กลับไปเวอร์ชันล่าสุด (Revert),
ui.menu.boardMoodMoodBoard,gallery-board,palette,,🎨 กระดานอารมณ์ (Mood Board) — เปิดเป็นแผงข้าง ๆ แล้วลากรูปมาวางได้,กระดานอารมณ์ (Mood Board) — เปิดเป็นแผงข้าง ๆ แล้วลากรูปมาวางได้,🎨 กระดานอารมณ์ (Mood Board) — เปิดเป็นแผงข้าง ๆ แล้วลากรูปมาวางได้,กระดานอารมณ์ (Mood Board) — เปิดเป็นแผงข้าง ๆ แล้วลากรูปมาวางได้,
ui.menu.caseBigSmall,,text-case,,🔠 ตัวพิมพ์ใหญ่/เล็ก (ให้อิสระ),ตัวพิมพ์ใหญ่/เล็ก (ให้อิสระ),🔠 ตัวพิมพ์ใหญ่/เล็ก (ให้อิสระ),ตัวพิมพ์ใหญ่/เล็ก (ให้อิสระ),
ui.menu.centerK,fmt:align:center,,,กึ่งกลาง ({0}+{1}+K),กึ่งกลาง,กึ่งกลาง ({0}+{1}+K),กึ่งกลาง,ตัดคีย์ลัดท้าย ({0}+{1}+K) — ให้ UI เติมจาก commands.csv
ui.menu.chapterFilm,set-format:screenplay,film,,🎬 บทหนัง,บทหนัง,🎬 บทหนัง,บทหนัง,
ui.menu.checkFindErrorU,sp-find-error,,,ตรวจหาข้อผิดพลาดถัดไป ({0}+{1}+U),ตรวจหาข้อผิดพลาดถัดไป,ตรวจหาข้อผิดพลาดถัดไป ({0}+{1}+U),ตรวจหาข้อผิดพลาดถัดไป,ตัดคีย์ลัดท้าย ({0}+{1}+U) — ให้ UI เติมจาก commands.csv
ui.menu.clearFormatSpace,fmt:clear,,,ล้างรูปแบบ ({0}+Space),ล้างรูปแบบ,ล้างรูปแบบ ({0}+Space),ล้างรูปแบบ,ตัดคีย์ลัดท้าย ({0}+Space) — ให้ UI เติมจาก commands.csv
ui.menu.closeAllTabW,close-all-tabs,,,ปิดทุกแท็บ ({0}+{1}+W),ปิดทุกแท็บ,ปิดทุกแท็บ ({0}+{1}+W),ปิดทุกแท็บ,ตัดคีย์ลัดท้าย ({0}+{1}+W) — ให้ UI เติมจาก commands.csv
ui.menu.closeTabW,close-tab,,,ปิดแท็บ ({0}+W),ปิดแท็บ,ปิดแท็บ ({0}+W),ปิดแท็บ,ตัดคีย์ลัดท้าย ({0}+W) — ให้ UI เติมจาก commands.csv
ui.menu.codexCodex,toggle-panel:codex,book-content,,📚 สารานุกรม (Codex),สารานุกรม (Codex),📚 สารานุกรม (Codex),สารานุกรม (Codex),
ui.menu.collapse,,,,ย่อ ({0}+-),ย่อ,ย่อ ({0}+-),ย่อ,ตัดคีย์ลัดท้าย ({0}+-) — ให้ UI เติมจาก commands.csv
ui.menu.commentScenePanel,comments,chat,,💬 คอมเมนต์ในฉากนี้ (แผง),คอมเมนต์ในฉากนี้ (แผง),💬 คอมเมนต์ในฉากนี้ (แผง),คอมเมนต์ในฉากนี้ (แผง),
ui.menu.compareChapter,sp-compare,chart,,📊 เปรียบเทียบบท / สคริปต์…,เปรียบเทียบบท / สคริปต์…,📊 เปรียบเทียบบท / สคริปต์…,เปรียบเทียบบท / สคริปต์…,
ui.menu.consoleDev,dev-console,wrench,,🛠 คอนโซลนักพัฒนา… ({0}+{1}+`),คอนโซลนักพัฒนา…,🛠 คอนโซลนักพัฒนา… ({0}+{1}+`),คอนโซลนักพัฒนา…,ตัดคีย์ลัดท้าย ({0}+{1}+`) — ให้ UI เติมจาก commands.csv
ui.menu.copyC,,,,คัดลอก ({0}+C),คัดลอก,คัดลอก ({0}+C),คัดลอก,ตัดคีย์ลัดท้าย ({0}+C) — ให้ UI เติมจาก commands.csv
ui.menu.coverTitlePages,title-pages,file,,📄 หน้าปก (Title Pages)…,หน้าปก (Title Pages)…,📄 หน้าปก (Title Pages)…,หน้าปก (Title Pages)…,
ui.menu.cutX,,,,ตัด ({0}+X),ตัด,ตัด ({0}+X),ตัด,ตัดคีย์ลัดท้าย ({0}+X) — ให้ UI เติมจาก commands.csv
ui.menu.dashLineUnderU,fmt:underline,,,ขีดเส้นใต้ ({0}+U),ขีดเส้นใต้,ขีดเส้นใต้ ({0}+U),ขีดเส้นใต้,ตัดคีย์ลัดท้าย ({0}+U) — ให้ UI เติมจาก commands.csv
